lat,long,depth,mag,stations
-37.38,182.86,487,6.0,77
-12.82,186.46,273,5.2,30
-12.97,175.51,602,4.8,113
-31.54,185.91,301,5.9,124
-19.21,185.39,164,5.1,87
-36.49,172.79,284,4.4,112
-33.96,185.19,581,6.1,104
-32.55,174.11,524,6.1,87
-30.38,172.34,161,5.1,79
-10.84,180.25,164,4.2,21
-19.17,173.05,588,4.9,25
-27.88,179.82,209,5.9,90
-18.05,179.37,163,6.2,118
-13.08,178.32,74,4.5,96
-11.87,174.21,126,4.2,23
-36.98,177.99,240,6.1,70
-27.59,179.07,408,4.9,80
-35.61,177.93,116,5.3,55
-29.24,175.65,98,6.3,41
-33.86,166.0,470,4.2,24
-20.56,178.86,677,5.6,53
-27.77,169.45,539,4.2,26
-32.2,180.1,148,4.9,50
-31.18,182.72,317,5.9,63
-28.55,176.91,107,5.0,120
-31.35,177.85,108,6.4,53
-25.96,187.04,204,5.3,107
-37.69,184.7,528,4.8,14
-30.79,186.2,344,4.5,118
-27.13,183.95,404,4.8,36
-21.79,168.12,418,4.9,125
-31.04,169.02,382,4.2,96
-34.88,177.5,593,4.9,113
-36.47,171.2,393,5.1,87
-12.38,176.38,455,5.7,88
-26.98,174.53,148,5.6,52
-22.39,178.01,602,5.7,106
-12.97,182.44,536,4.0,126
-36.28,181.74,380,4.5,40
-14.16,177.38,422,5.6,108
-23.22,184.14,572,5.2,26
-34.0,175.35,339,4.0,101
-27.13,185.81,178,5.9,92
-16.92,167.27,398,5.9,119
-25.2,187.11,538,5.3,63
-11.13,180.37,424,4.2,71
-28.09,174.21,643,5.8,96
-17.7,170.1,319,5.4,41
-27.64,176.43,676,5.9,49
-15.48,170.04,522,5.8,22
-22.73,169.41,150,5.9,93
-36.82,179.54,178,5.2,44
-37.56,177.42,474,4.3,14
-34.86,180.72,548,5.6,82
-38.21,186.55,312,5.5,38
-36.49,177.62,138,5.8,79
-19.31,178.72,143,4.4,34
-23.7,167.68,253,4.5,104
-17.69,181.79,204,6.1,31
-13.14,174.65,559,5.8,75
-22.28,187.61,323,6.2,54
-18.35,184.16,556,5.8,78
-17.49,177.4,652,5.4,100
-28.06,168.44,203,5.6,98
-31.87,184.97,103,6.1,81
-32.88,183.63,130,5.4,128
-31.58,169.82,156,5.5,10
-30.93,172.3,306,4.4,93
-32.81,183.49,598,5.1,53
-14.11,169.83,179,5.7,96
-17.49,186.28,285,4.7,105
-37.28,175.2,434,4.5,84
-31.1,167.62,526,4.8,48
-37.97,183.99,515,4.6,120
-24.71,174.06,556,4.5,63
-25.32,177.5,223,5.0,97
-15.42,168.19,59,6.2,84
-30.01,165.73,597,5.2,38
-15.84,180.0,563,4.5,63
-11.61,177.24,621,4.2,99
-36.13,179.0,568,5.7,25
-16.52,183.5,186,4.9,108
-22.15,180.19,343,6.0,29
-25.21,169.6,659,5.6,55
-26.87,173.77,621,5.9,76
-16.72,186.02,267,4.7,74
-20.77,182.96,141,5.7,67
-16.15,178.17,626,4.6,62
-13.42,171.41,456,6.3,120
-21.39,172.45,255,5.5,10
-11.26,182.11,446,4.8,90
-21.64,184.79,438,4.6,75
-20.85,180.75,538,4.5,38
-23.13,183.85,504,5.7,93
-36.05,182.89,121,4.5,79
-18.35,169.03,643,5.4,17
-23.33,175.19,404,4.6,38
-26.02,169.11,202,5.6,121
-13.22,170.95,87,6.0,60
-30.29,185.19,550,5.9,42
-24.0,176.29,368,5.8,12
-19.15,177.69,155,4.5,69
-16.39,169.68,376,4.2,44
-25.79,172.68,186,5.7,78
-15.12,170.84,614,4.9,100
-17.16,170.3,362,5.0,117
-36.74,180.0,482,4.1,85
-37.31,171.44,52,4.6,93
-21.29,179.87,533,4.1,118
-28.91,166.98,326,6.1,29
-32.76,168.85,153,4.6,82
-22.44,171.84,519,5.3,48
-29.07,179.08,61,4.1,13
-23.62,180.85,388,5.6,124
-25.77,175.61,605,4.8,127
-22.29,175.68,359,6.2,28
-27.43,181.94,165,6.1,111
-19.15,166.03,316,4.8,100
-33.57,173.33,243,6.2,54
-19.18,184.06,233,6.4,52
-27.12,179.22,586,6.0,22
-14.22,173.24,325,6.0,22
-24.23,186.01,96,4.6,69
-11.47,183.02,342,5.4,66
-21.81,171.62,202,4.2,95
-32.35,180.16,58,4.2,101
-15.69,179.05,409,6.4,61
-28.97,174.68,303,4.8,120
-28.9,173.91,152,5.8,62
-37.7,173.39,527,5.9,118
-23.3,179.53,366,6.1,95
-23.7,175.61,581,6.4,52
-28.67,184.35,618,4.6,92
-13.67,180.71,104,4.1,81
-35.0,167.24,331,5.0,125
-29.39,180.05,64,4.3,81
-29.63,171.76,588,4.1,51
-36.02,178.98,40,4.9,99
-25.18,180.95,588,5.9,121
-19.42,170.85,180,5.4,124
-24.33,175.93,227,4.8,35
-34.22,169.94,167,5.6,32
-28.08,166.85,240,4.6,52
-38.52,174.17,166,4.0,86
-14.39,173.82,296,5.8,37
-36.23,188.03,586,5.5,18
-21.94,175.7,233,5.8,29
-11.1,173.16,143,4.1,65
-23.64,178.71,574,6.0,92
-12.84,167.66,304,5.5,121
-32.01,187.27,423,5.4,48
-17.41,179.93,299,5.5,60
-23.78,182.62,453,6.1,21
-18.51,169.5,397,5.4,88
-36.85,174.87,114,5.4,104
-34.47,175.16,394,6.4,64
-34.88,184.13,623,5.8,87
-19.44,165.7,227,5.1,20
-15.06,172.43,329,5.7,35
-17.7,187.71,84,4.9,51
-37.74,176.34,612,4.5,36
-14.42,174.26,122,5.4,20
-28.72,168.36,162,6.2,47
-27.52,187.55,397,6.2,107
-35.67,166.12,567,4.8,52
-18.04,182.23,105,5.3,28
-33.51,182.93,414,4.5,73
-22.87,171.14,201,6.4,15
-15.16,180.75,419,6.4,55
-36.1,167.76,397,5.6,125
-23.67,171.44,227,5.9,111
-32.09,183.37,361,5.7,122
-29.03,185.09,489,5.4,51
-25.38,179.34,513,4.1,101
-28.69,177.05,52,5.1,74
-20.51,169.25,223,5.6,108
-25.22,167.09,150,5.6,113
-22.31,168.31,547,4.9,81
-18.05,170.78,329,6.3,68
-23.05,173.34,334,4.4,61
-22.24,174.23,490,5.2,127
-22.86,173.45,254,5.7,56
-28.03,171.04,671,5.7,129
-29.19,177.12,606,5.6,16
-13.52,184.21,66,4.7,20
-21.66,171.95,669,4.4,112
-31.78,186.84,270,5.5,70
-24.7,185.29,604,5.4,77
-29.38,169.3,360,4.4,34
-12.57,183.33,272,5.7,21
-38.38,178.58,476,5.1,35
-32.31,178.4,572,5.6,111
-28.41,174.45,442,6.0,119
-24.99,176.93,92,4.4,21
-14.88,174.59,352,4.0,52
-36.14,177.79,320,5.9,60
-16.13,179.77,70,5.5,126
-37.04,180.81,376,5.7,46
-15.11,177.63,222,6.0,55
-37.15,181.87,62,5.9,62
-38.08,168.84,583,6.3,97
-19.17,170.43,485,5.3,89
-10.8,184.06,113,5.2,130
-13.6,172.91,49,5.0,22
-22.54,166.18,523,4.4,98
-13.02,169.12,495,5.4,127
-38.44,170.69,605,4.7,63
-11.41,187.17,603,6.2,66
-24.91,178.54,199,5.4,125
-18.44,186.62,53,5.4,127
-15.71,178.59,217,4.9,13
-18.57,176.44,451,4.1,84
-23.68,172.72,92,4.1,105
-25.31,179.29,447,5.0,58
-15.22,168.8,61,4.2,16
-32.87,185.84,69,5.5,119
-11.61,184.3,299,6.1,131
-18.78,172.8,244,6.1,20
-33.03,187.07,98,5.6,101
-18.07,184.2,510,4.5,63
-23.82,180.64,505,6.1,114
-18.88,168.4,51,6.1,96
-17.19,176.41,670,4.5,54
-36.16,177.04,329,5.8,32
-24.48,170.89,393,4.7,123
-12.61,167.47,678,5.9,37
-29.65,183.12,114,6.4,116
-22.04,168.41,600,4.1,120
-28.3,179.02,630,6.2,66
-25.93,186.7,480,5.5,35
-23.3,185.35,280,6.3,34
-23.29,171.91,193,5.1,63
-32.97,184.79,135,6.0,38
-19.51,165.68,333,4.1,92
-36.14,166.07,248,4.8,106
-34.72,179.2,382,4.2,45
-38.51,173.86,127,6.3,23
-35.34,174.35,429,6.0,87
-25.4,178.35,364,6.0,44
-21.7,169.98,196,6.3,39
-16.45,170.43,672,4.2,101
-35.62,176.55,616,4.9,26
-14.88,182.61,658,4.2,76
-17.8,179.58,176,4.5,89
-27.2,172.35,467,4.6,119
-12.59,175.34,491,5.1,39
-10.97,169.5,651,4.6,125
-32.88,167.35,180,4.2,102
-28.02,183.25,122,4.4,54
-12.77,171.63,216,4.4,88
-18.48,169.66,237,6.3,119
-37.25,181.2,663,5.8,129
-16.81,179.55,607,6.3,98
-15.52,179.89,460,5.1,60
-17.67,170.81,440,4.7,111
-16.31,170.9,510,5.9,115
-15.59,170.63,257,4.8,56
-33.39,169.57,671,4.7,62
-32.02,180.4,214,4.6,73
-20.93,184.72,62,4.3,127
-13.29,181.94,274,4.6,125
-29.78,183.46,52,4.9,131
-22.19,174.76,140,5.6,47
-19.56,180.36,575,4.2,73
-25.99,173.63,562,4.5,96
-18.7,177.47,491,5.9,98
-13.52,176.49,470,4.4,115
-21.2,169.64,645,4.8,16
-23.55,174.36,572,6.1,31
-26.36,187.32,332,4.4,90
-22.5,171.25,140,4.2,91
-28.69,168.68,541,5.2,122
-27.68,175.07,343,4.7,50
-23.77,183.42,579,5.4,83
-36.73,178.75,592,5.9,19
-32.21,180.96,394,4.3,66
-23.46,169.93,342,5.4,16
-26.56,179.57,535,5.2,121
-29.31,172.94,266,4.3,59
-18.23,184.41,275,5.5,111
-19.26,179.8,494,4.7,100
-33.94,170.14,52,5.2,61
-14.1,167.12,249,4.2,42
-24.78,166.63,436,5.1,10
-17.93,174.01,139,4.7,117
-22.62,171.64,70,6.0,62
-10.78,180.18,567,4.1,69
-17.62,176.89,368,5.0,43
-18.89,171.64,205,5.1,13
-16.89,169.02,498,5.7,26
-34.6,168.53,139,5.4,13
-32.89,185.09,660,5.6,52
-18.69,171.14,212,5.9,127
-24.82,180.31,201,6.1,99
-17.56,183.88,302,4.8,13
-35.72,179.46,313,5.3,10
-23.64,184.98,42,6.0,80
-28.03,174.48,67,6.4,103
-25.85,187.15,365,6.1,59
-21.76,168.66,188,4.9,82
-24.59,167.96,579,4.5,70
-23.54,180.46,527,5.2,44
-25.04,186.85,477,5.8,17
-27.19,183.84,104,5.2,33
-17.08,167.39,395,5.2,92
-38.25,171.94,572,6.0,45
-21.91,186.56,291,4.9,59
-22.83,171.35,274,6.1,125
-18.63,183.22,266,5.0,52
-21.9,184.2,564,4.8,36
-15.55,176.8,352,5.1,41
-11.86,174.35,88,5.8,87
-29.04,175.78,157,4.3,130
-32.25,170.77,93,4.5,27
-26.78,185.65,604,6.3,37
-30.57,175.79,83,4.4,38
-21.45,185.49,92,5.4,25
-13.18,168.04,625,5.4,108
-34.71,187.87,597,5.2,56
-35.78,175.63,564,5.5,68
-31.45,166.74,141,4.6,40
-18.35,166.52,437,5.3,13
-22.06,182.43,177,4.9,46
-35.74,180.47,426,5.6,26
-12.98,183.69,150,4.3,48
-16.57,168.04,653,5.4,57
-37.95,166.47,56,4.4,55
-20.44,177.09,221,4.7,99
-17.1,174.38,575,4.5,57
-28.15,176.05,580,4.4,48
-36.67,187.94,210,6.0,114
-36.44,187.47,448,4.7,13
-35.68,186.83,417,6.2,39
-15.17,183.28,227,6.3,39
-13.21,173.64,269,5.4,31
-35.17,174.93,158,4.3,84
-32.02,178.01,195,4.9,75
-33.98,184.32,504,5.9,117
-33.4,167.21,143,4.9,21
-15.25,175.2,643,4.2,103
-29.33,167.53,541,5.3,45
-29.91,177.23,214,6.0,27
-32.25,185.86,460,5.9,99
-21.65,183.24,173,4.4,62
-28.02,170.79,430,5.6,80
-17.85,187.59,540,4.5,10
-32.86,180.66,72,4.5,67
-16.63,165.9,94,6.1,99
-21.76,171.41,558,4.6,96
-35.41,171.53,677,4.6,99
-27.04,167.23,51,4.0,118
-14.52,187.23,567,6.1,15
-12.87,176.41,594,5.9,79
-25.61,185.79,412,5.5,53
-25.19,172.91,523,5.8,81
-12.99,168.48,267,4.4,33
-22.23,176.32,662,5.1,95
-37.67,168.23,346,4.8,28
-13.15,176.59,496,4.2,110
-31.67,186.34,199,5.2,27
-22.49,177.37,370,6.2,104
-33.98,179.52,264,4.1,110
-37.65,169.19,543,4.7,39
-29.91,166.65,495,4.5,130
-16.84,168.16,84,4.6,51
-30.85,179.11,253,6.2,42
-32.46,167.8,98,5.1,83
-32.66,174.11,655,5.1,110
-24.23,178.03,234,5.8,21
-11.4,174.4,528,4.4,127
-25.8,169.35,196,5.2,103
-23.06,171.82,649,5.0,36
-14.6,186.52,265,5.4,48
-23.68,180.85,451,6.4,18
-33.45,176.81,244,5.8,127
-30.24,165.96,118,5.0,30
-29.95,187.96,163,6.0,85
-27.52,180.75,510,4.4,128
-26.7,172.79,257,4.1,38
-16.3,185.42,555,4.5,42
-28.85,171.47,641,4.8,116
-25.54,177.89,143,5.2,71
-21.17,179.96,432,5.5,126
-28.06,170.64,670,6.2,24
-15.27,187.64,647,5.2,11
-22.22,182.47,473,5.2,61
-30.39,178.2,370,4.1,112
-18.69,169.73,182,4.1,126
-23.88,166.88,579,5.3,53
-23.69,172.86,317,5.1,63
-25.18,182.59,272,6.0,27
-24.74,171.72,568,4.4,12
-17.26,177.79,610,4.1,16
-35.72,182.02,129,5.1,52
-29.27,168.09,531,4.6,91
-36.49,181.06,238,4.1,117
-17.6,167.73,401,5.7,47
-31.0,187.35,480,4.3,46
-13.58,176.64,65,5.5,67
-23.91,169.05,64,4.7,42
-16.27,173.36,433,4.4,117
-11.31,174.96,546,4.9,68
-15.19,182.7,340,5.9,104
-14.43,182.37,378,4.9,131
-27.22,179.41,306,5.8,20
-23.21,168.05,500,4.3,77
-31.51,169.07,495,5.9,91
-33.12,167.78,399,4.6,77
-24.5,178.63,107,5.6,122
-22.01,185.37,451,5.4,107
-29.13,175.41,530,6.2,102
-22.72,169.28,88,4.9,97
-13.86,178.2,603,4.2,31
-23.07,183.9,141,4.0,75
-18.5,182.33,255,6.0,53
-16.15,185.47,477,5.3,15
-11.03,171.91,608,5.9,51
-21.78,170.03,598,4.6,34
-16.1,185.43,198,4.8,128
-11.76,180.44,528,4.1,66
-12.27,172.65,281,6.3,94
-34.66,182.34,44,5.6,64
-27.26,183.98,635,6.2,25
-29.56,179.48,400,4.6,104
-36.17,181.12,498,5.5,23
-20.94,174.1,287,5.6,48
-18.08,177.77,605,4.8,37
-14.95,177.44,461,6.0,105
-35.17,184.72,54,6.3,101
-14.16,184.54,612,6.1,60
-20.67,184.37,161,5.8,128
-18.97,165.92,316,4.7,58
-13.21,182.5,597,4.7,18
-21.18,182.71,492,6.3,67
-29.23,180.91,429,4.0,54
-15.59,182.66,333,5.7,31
-28.47,184.58,613,5.7,41
-37.64,176.23,637,5.5,78
-15.44,176.95,485,6.4,96
-28.97,168.47,249,4.7,78
-17.02,174.33,629,4.8,51
-28.48,180.12,341,4.2,62
-14.59,183.2,262,5.1,105
-32.47,170.55,42,4.6,68
-11.43,168.77,557,4.8,83
-16.86,180.56,132,6.0,48
-35.41,165.71,559,6.2,131
-22.82,169.68,467,4.4,24
-11.13,166.32,532,4.9,80
-25.46,169.42,274,6.2,38
-33.51,169.74,659,4.1,120
-25.08,174.38,200,4.2,12
-24.31,174.71,370,4.4,92
-17.92,185.31,372,5.4,19
-19.11,177.13,89,4.4,101
-27.37,181.92,562,6.3,38
-32.51,168.01,531,5.1,88
-20.61,170.73,621,5.2,44
-26.84,181.46,311,4.6,15
-34.9,166.86,619,5.1,21
-13.49,176.6,291,5.6,120
-19.33,179.13,599,5.8,47
-19.55,179.19,129,5.8,86
-15.66,166.19,485,5.4,102
-23.83,172.9,371,6.2,28
-15.87,179.97,178,6.0,76
-24.71,169.02,396,5.8,17
-36.72,181.29,640,4.1,17
-27.3,182.42,313,4.0,128
-24.73,187.73,58,4.5,131
-18.52,170.38,350,5.6,93
-35.62,184.2,193,5.0,56
-34.69,177.36,429,5.0,13
-31.24,174.06,299,6.1,60
-31.16,168.42,659,6.1,94
-18.18,182.19,610,6.2,76
-31.6,170.97,164,4.8,54
-20.95,174.01,393,5.7,17
-24.81,167.07,312,4.7,96
-22.61,183.67,658,4.5,25
-15.23,182.89,284,4.4,86
-27.32,182.15,489,4.8,76
-17.1,172.4,286,5.0,121
-26.83,169.57,559,6.0,18
-28.73,179.99,180,4.3,69
-11.87,176.81,401,5.8,87
-33.45,169.67,47,5.3,86
-36.07,181.08,517,4.7,126
-17.1,187.93,391,5.2,130
-36.69,182.45,534,4.7,80
-15.26,182.29,645,5.4,24
-26.41,187.01,466,5.0,80
-13.07,170.23,78,4.4,111
-18.48,178.37,632,4.3,107
-21.58,187.67,226,5.3,50
-12.13,169.38,635,6.2,31
-27.54,181.4,639,4.8,33
-12.0,178.83,132,5.8,122
-34.83,178.84,125,5.6,110
-25.11,181.34,83,6.2,53
-31.07,186.55,176,6.0,10
-23.54,183.25,460,5.4,19
-34.07,166.93,113,5.6,116
-15.14,184.82,587,6.2,89
-15.0,170.74,652,5.0,119
-11.97,174.14,551,4.8,81
-34.28,176.04,195,4.0,65
-21.22,176.47,294,6.0,122
-25.37,175.44,210,5.9,98
-28.99,186.72,209,4.3,59
-28.79,181.53,361,5.4,21
-27.09,179.85,606,5.1,98
-18.94,166.79,495,4.3,90
-21.92,185.97,642,6.4,69
-25.78,186.09,652,4.5,35
-36.47,183.19,194,4.2,119
-36.42,165.83,388,5.4,121
-38.52,166.96,490,5.8,87
-11.62,170.73,212,4.1,50
